rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
127,frame_0319.jpg,127.6,0.4518,0.4488,0.5714,0.28,8,4,False,False
128,frame_0399.jpg,159.6,0.4508,0.5324,0.4286,0.28,7,3,False,False
129,frame_0087.jpg,34.8,0.449,0.4488,0.4286,0.48,4,3,False,False
130,frame_0019.jpg,7.6,0.4474,0.4091,0.1429,1.0,3,1,False,False
131,frame_0007.jpg,2.8,0.4463,0.3211,0.2857,1.0,5,2,False,False
132,frame_0024.jpg,9.6,0.4425,0.3993,0.1429,1.0,2,1,False,False
133,frame_0332.jpg,132.8,0.4397,0.692,0.2857,0.04,5,2,False,False
134,frame_0088.jpg,35.2,0.4348,0.6079,0.1429,0.44,4,1,False,False
135,frame_0171.jpg,68.4,0.4348,0.4365,0.4286,0.44,7,3,False,False
136,frame_0390.jpg,156.0,0.4346,0.4943,0.5714,0.08,6,4,False,False
137,frame_0097.jpg,38.8,0.4341,0.579,0.4286,0.08,6,3,False,False
138,frame_0229.jpg,91.6,0.4333,0.5774,0.4286,0.08,7,3,False,False
139,frame_0274.jpg,109.6,0.4311,0.541,0.4286,0.16,5,3,False,False
140,frame_0168.jpg,67.2,0.431,0.5523,0.1429,0.56,6,1,False,False
141,frame_0118.jpg,47.2,0.4309,0.4286,0.4286,0.44,7,3,False,False
142,frame_0032.jpg,12.8,0.4307,0.3757,0.1429,1.0,4,1,False,False
143,frame_0313.jpg,125.2,0.429,0.6706,0.2857,0.04,2,2,False,False
144,frame_0120.jpg,48.0,0.4268,0.4742,0.2857,0.52,6,2,False,False
145,frame_0184.jpg,73.6,0.425,0.5609,0.4286,0.08,6,3,False,False
146,frame_0068.jpg,27.2,0.4245,0.3633,0.1429,1.0,8,1,False,False
147,frame_0196.jpg,78.4,0.421,0.6122,0.1429,0.36,2,1,False,False
148,frame_0025.jpg,10.0,0.4208,0.3559,0.1429,1.0,3,1,False,False
149,frame_0395.jpg,158.0,0.4165,0.4422,0.5714,0.12,5,4,False,False
150,frame_0096.jpg,38.4,0.416,0.6125,0.2857,0.12,7,2,False,False
151,frame_0133.jpg,53.2,0.4134,0.341,0.1429,1.0,5,1,False,False
152,frame_0282.jpg,112.8,0.4063,0.4492,0.2857,0.48,7,2,False,False
153,frame_0309.jpg,123.6,0.4062,0.4216,0.5714,0.12,6,4,False,False
154,frame_0396.jpg,158.4,0.4047,0.4883,0.4286,0.16,7,3,False,False
155,frame_0198.jpg,79.2,0.4032,0.5447,0.1429,0.44,2,1,False,False
156,frame_0121.jpg,48.4,0.4026,0.4098,0.2857,0.56,6,2,False,False
157,frame_0194.jpg,77.6,0.4026,0.436,0.4286,0.28,5,3,False,False
158,frame_0081.jpg,32.4,0.4012,0.3429,0.2857,0.72,7,2,False,False
159,frame_0202.jpg,80.8,0.399,0.3866,0.2857,0.6,5,2,False,False
160,frame_0185.jpg,74.0,0.3986,0.5938,0.2857,0.08,7,2,False,False
161,frame_0211.jpg,84.4,0.398,0.3686,0.2857,0.64,5,2,False,False
162,frame_0373.jpg,149.2,0.3965,0.4719,0.4286,0.16,7,3,False,False
163,frame_0023.jpg,9.2,0.3942,0.3027,0.1429,1.0,3,1,False,False
164,frame_0386.jpg,154.4,0.3942,0.6067,0.1429,0.24,7,1,False,False
165,frame_0207.jpg,82.8,0.3929,0.2944,0.2857,0.8,4,2,False,False
166,frame_0200.jpg,80.0,0.3923,0.4051,0.2857,0.52,3,2,False,False
167,frame_0174.jpg,69.6,0.3899,0.3947,0.4286,0.32,5,3,False,False
168,frame_0215.jpg,86.0,0.3899,0.4164,0.2857,0.48,8,2,False,False
169,frame_0217.jpg,86.8,0.3888,0.5318,0.1429,0.4,3,1,False,False
170,frame_0321.jpg,128.4,0.3882,0.4393,0.4286,0.2,7,3,False,False
171,frame_0272.jpg,108.8,0.3865,0.5695,0.2857,0.08,4,2,False,False
